Cell,Longitude,Latitude
G084862,116.33831,35.92801
G084863,116.33831,35.92801
G084871,116.33056,36.03417
G084872,116.33056,36.03417
G084873,116.33056,36.03417
G084881,116.41262,35.94706
G084882,116.41262,35.94706
G084883,116.41262,35.94706
G084901,116.4420278,35.92088889
G084902,116.4420278,35.92088889
G084903,116.4420278,35.92088889
G084931,116.36503,35.80019
G084932,116.36503,35.80019
G084933,116.36503,35.80019
G084941,116.45891,35.86487
G084942,116.45891,35.86487
G084943,116.45891,35.86487
G084961,116.30817,35.91152
G084962,116.30817,35.91152
G084963,116.30817,35.91152
G084971,116.4621111,35.96186111
G084972,116.4621111,35.96186111
G084973,116.4621111,35.96186111
G084981,116.4106944,35.88244444
G084982,116.4106944,35.88244444
G084983,116.4106944,35.88244444
G084991,116.46732,35.84526
G084992,116.46732,35.84526
G084993,116.46732,35.84526
G085001,117.43385,36.1259
G085011,116.90696,36.24499
G085021,116.90645,36.17415
G085022,116.9063889,36.17416667
G085031,117.3379,36.0608
G085041,117.23545,36.04243
G085051,117.05346,36.13982
G085052,117.05346,36.13982
G085081,117.0447222,36.00666667
G085082,117.0447222,36.00666667
G085083,117.0447222,36.00666667
G085091,117.41561,36.04301
G085101,117.0377778,36.12277778
G085102,117.0377778,36.12277778
G085103,117.0377778,36.12277778
G085111,117.13184,35.98276
G085112,117.13184,35.98276
G085113,117.13184,35.98276
G085121,117.04165,35.9766
G085122,117.04165,35.9766
G085123,117.04165,35.9766
G085131,117.07867,36.03987
G085132,117.07867,36.03987
G085133,117.07867,36.03987
G085134,117.07867,36.03987
G085151,117.0907,35.9473
G085152,117.0907,35.9473
G085153,117.0907,35.9473
G085161,117.16168,36.1947
G085162,117.16168,36.1947
G085163,117.16168,36.1947
G085171,117.12256,36.18539
G085172,117.12256,36.18539
G085173,117.12256,36.18539
G085181,117.12394,36.20024
G085182,117.12394,36.20024
G085183,117.12394,36.20024
G085191,117.10628,36.25578
G085192,117.10628,36.25578
G085193,117.10628,36.25578
G085201,117.11227,36.19535
G085202,117.11227,36.19535
G085203,117.11227,36.19535
G085211,117.05082,36.18364
G085212,117.05082,36.18364
G085213,117.05082,36.18364
G085231,117.36105,36.14314
G085232,117.36105,36.14314
G085241,116.9764,36.1459
G085271,117.01906,36.07933
G085281,117.09587,36.19514
G085282,117.09587,36.19514
G085283,117.09587,36.19514
G085291,117.1406,36.2106
G085292,117.1406,36.2106
G085293,117.1406,36.2106
G085311,117.130972,36.19263888
G085312,117.130972,36.19263888
G085313,117.130972,36.19263888
G085321,117.1436111,36.05075
G085322,117.1436111,36.05075
G085331,117.07433,36.25515
G085341,117.11349,36.18555
G085342,117.11349,36.18555
G085343,117.11349,36.18555
G085351,117.01768,36.26296
G085371,117.16101,36.11202
G085372,117.16101,36.11202
G085373,117.16101,36.11202
G085381,116.9062,36.0921
G085382,116.9062,36.0921
G085383,116.9062,36.0921
G085391,117.08265,36.20647
G085392,117.08265,36.20647
G085421,116.92792,36.07076
G085421,116.92792,36.07076
G085422,116.92792,36.07076
G085423,116.92792,36.07076
G085431,117.0124,36.0424
G085432,117.0124,36.0424
G085433,117.0124,36.0424
G085451,117.04481,36.06651
G085452,117.04481,36.06651
G085453,117.04481,36.06651
G085461,116.8734,36.1676
G085491,117.14649,36.1984
G085492,117.14649,36.1984
G085493,117.14649,36.1984
G085501,116.97632,36.18752
G085501,116.97632,36.18752
G085502,116.97632,36.18752
G085502,116.97632,36.18752
G085503,116.97632,36.18752
G085503,116.97632,36.18752
G085511,116.99112,35.96488
G085512,116.99112,35.96488
G085513,116.99112,35.96488
G085531,117.33901,36.09815
G085532,117.33901,36.09815
G085533,117.33901,36.09815
G085551,117.23784,36.09239
G085552,117.23784,36.09239
G085553,117.23784,36.09239
G085571,116.894,36.1329
G085572,116.894,36.1329
G085573,116.894,36.1329
G085601,117.1341,35.9559
G085602,117.1341,35.9559
G085603,117.1341,35.9559
G085651,117.23895,36.13276
G085652,117.23895,36.13276
G085653,117.23895,36.13276
G085661,117.19835,36.22692
G085671,117.22429,36.17493
G085672,117.22429,36.17493
G085673,117.22429,36.17493
G085691,116.97174,36.0762
G085692,116.97174,36.0762
G085693,116.97174,36.0762
G085731,116.9582778,36.22538889
G085771,117.17723,36.22106
G085772,117.17723,36.22106
G085773,117.17723,36.22106
D085774,117.17723,36.22106
G085781,116.9387778,36.12594444
G085782,116.9387778,36.12594444
G085783,116.9387778,36.12594444
G085791,117.16891,36.17882
G085792,117.16891,36.17882
G085793,117.16891,36.17882
G085801,117.01747,36.14764
G085802,117.01747,36.14764
G085803,117.01747,36.14764
G085851,117.1808333,35.99652778
G085852,117.1808333,35.99652778
G085853,117.1808333,35.99652778
G085861,117.08998,36.08585
G085862,117.08998,36.08585
G085863,117.08998,36.08585
G085871,117.1721944,36.19294444
G085872,117.1721944,36.19294444
G085873,117.1721944,36.19294444
G085881,117.09418,36.11666
G085882,117.09418,36.11666
